,"Heavy","2-theta","Intensity"
,"","22.840","0.08704"
,"","22.860","0.08089"
,"","22.880","0.09132"
,"","22.900","0.09263"
,"","22.920","0.09272"
,"","22.940","0.09301"
,"","22.960","0.08966"
,"","22.980","0.08683"
,"","23.000","0.07850"
,"","23.020","0.06480"
,"","23.040","0.05746"
,"","23.060","0.04050"
,"","23.080","0.06000"
,"","23.100","0.07095"
,"","23.120","0.07626"
,"","23.140","0.08243"
,"","23.160","0.08596"
,"","23.180","0.08616"
,"","23.200","0.09173"
,"","23.220","0.08870"
,"","23.240","0.08485"
,"","23.260","0.08331"
,"","23.280","0.09001"
,"","23.300","0.08736"
,"","23.320","0.08240"
,"","23.340","0.07626"
,"","23.360","0.07972"
,"","23.380","0.07442"
,"","23.400","0.07666"
,"","23.420","0.07958"
,"","23.440","0.07777"
,"","23.460","0.07477"
,"","23.480","0.06690"
,"","23.500","0.05583"
,"","23.520","0.05860"
,"","23.540","0.06035"
,"","23.560","0.07218"
,"","23.580","0.06833"
,"","23.600","0.07629"
,"","23.620","0.07946"
,"","23.640","0.07800"
,"","23.660","0.07296"
,"","23.680","0.05548"
,"","23.700","0.04476"
,"","23.720","0.05478"
,"","23.740","0.06291"
,"","23.760","0.07040"
,"","23.780","0.07792"
,"","23.800","0.08223"
,"","23.820","0.08916"
,"","23.840","0.09654"
,"","23.860","0.09630"
,"","23.880","0.08389"
,"","23.900","0.08826"
,"","23.920","0.08972"
,"","23.940","0.08287"
,"","23.960","0.07253"
,"","23.980","0.07943"
,"","24.000","0.07821"
,"","24.020","0.07937"
,"","24.040","0.08823"
,"","24.060","0.08745"
,"","24.080","0.08963"
,"","24.100","0.09479"
,"","24.120","0.09555"
,"","24.140","0.08313"
,"","24.160","0.07422"
,"","24.180","0.07267"
,"","24.200","0.06469"
,"","24.220","0.05635"
,"","24.240","0.05428"
,"","24.260","0.05813"
,"","24.280","0.06527"
,"","24.300","0.06451"
,"","24.320","0.06617"
,"","24.340","0.07043"
,"","24.360","0.07186"
,"","24.380","0.07457"
,"","24.400","0.08441"
,"","24.420","0.09182"
,"","24.440","0.09654"
,"","24.460","0.11516"
,"","24.480","0.11283"
,"","24.500","0.10709"
,"","24.520","0.09686"
,"","24.540","0.09301"
,"","24.560","0.08322"
,"","24.580","0.08934"
,"","24.600","0.08523"
,"","24.620","0.07526"
,"","24.640","0.07151"
